file	obj	time	gap	objs	times	gaps	iters
sdrdp_wireless_20_0.384_2.txt.out	5	0.022055	0.0	[8.0, 7.0]	[0.007272, 0.012126]	[50.0, 42.857143]	[44, 105]
sdrdp_wireless_20_0.423_3.txt.out	3	0.017372	0.0	[5.0, 3.0]	[0.00686, 0.016301]	[60.0, 33.333333]	[21, 90]
sdrdp_wireless_20_0.423_4.txt.out	4	0.020989	0.0	[8.0, 5.0, 4.0]	[0.007032, 0.008691, 0.019532]	[62.5, 40.0, 25.0]	[52, 87, 127]
sdrdp_wireless_20_0.423_5.txt.out	4	0.022017	0.0	[4.0]	[0.007673]	[25.0]	[46]
sdrdp_wireless_20_0.423_6.txt.out	2	0.015592	0.0	[6.0, 4.0]	[0.006178, 0.009684]	[75.0, 62.5]	[32, 54]
sdrdp_wireless_20_0.423_7.txt.out	4	0.028868	0.0	[9.0, 5.0, 4.0]	[0.006907, 0.010102, 0.028666]	[66.666667, 40.0, 0.0]	[80, 120, 321]
sdrdp_wireless_20_0.423_8.txt.out	3	0.01878	0.0	[8.0, 7.0, 4.0]	[0.007378, 0.009997, 0.016758]	[70.454545, 57.142857, 25.0]	[31, 48, 73]
sdrdp_wireless_20_0.423_9.txt.out	2	0.00936	0.0	[3.0]	[0.006485]	[33.333333]	[28]
sdrdp_wireless_20_0.437_0.txt.out	2	0.010672	0.0	[3.0]	[0.007013]	[33.333333]	[35]
sdrdp_wireless_20_0.437_1.txt.out	3	0.009782	0.0	[5.0]	[0.007174]	[40.0]	[17]
sdrdp_wireless_20_0.437_2.txt.out	1	0.012523	0.0	[1.0]	[0.007613]	[100.0]	[22]
sdrdp_wireless_20_0.437_3.txt.out	1	0.019044	0.0	[5.0, 4.0, 2.0, 1.0]	[0.007454, 0.009034, 0.017113, 0.018863]	[80.0, 75.0, 50.0, 0.0]	[65, 93, 110, 203]
sdrdp_wireless_20_0.437_4.txt.out	1	0.007396	0.0	[]	[]	[]	[]
sdrdp_wireless_20_0.459_5.txt.out	1	0.013716	0.0	[2.0]	[0.006762]	[50.0]	[31]
sdrdp_wireless_20_0.459_6.txt.out	2	0.007708	0.0	[]	[]	[]	[]
sdrdp_wireless_20_0.459_7.txt.out	4	0.010982	0.0	[4.0]	[0.006545]	[50.0]	[64]
sdrdp_wireless_20_0.459_8.txt.out	2	0.030894	0.0	[5.0, 3.0, 2.0]	[0.007549, 0.019355, 0.030726]	[73.333333, 43.030303, 0.0]	[58, 153, 328]
sdrdp_wireless_20_0.459_9.txt.out	0	0.008194	0.0	[]	[]	[]	[]
sdrdp_wireless_300_0.102_0.txt.out	27	509.867	0.0	[66.0, 55.0, 33.0, 32.0, 30.0, 29.0, 28.0, 27.0]	[0.117719, 0.461367, 2.455524, 21.823429, 22.315686, 26.183778, 107.167811, 449.218668]	[72.692037, 61.516541, 29.19768, 24.364229, 19.299838, 16.346701, 11.549474, 5.814605]	[1332, 2538, 8996, 129468, 133312, 165132, 693366, 3037393]
sdrdp_wireless_300_0.108_1.txt.out	22	1199.94	10.5101	[65.0, 57.0, 30.0, 28.0, 26.0, 25.0, 24.0, 23.0, 22.0]	[0.129979, 0.569952, 1.996363, 4.188622, 5.040984, 55.649809, 205.404175, 1089.298036, 1103.978521]	[80.769231, 73.52467, 43.584081, 39.447856, 34.604541, 26.198802, 21.610753, 14.754427, 10.840513]	[1479, 2913, 6449, 34183, 43691, 517408, 2145132, 10032937, 10110607]
sdrdp_wireless_300_0.113_2.txt.out	23	1180.35	0.0	[63.0, 54.0, 32.0, 30.0, 29.0, 28.0, 27.0, 26.0, 25.0, 24.0, 23.0]	[0.277122, 0.546936, 1.993803, 8.724332, 11.20159, 11.783662, 32.797111, 38.577697, 40.179692, 50.074208, 1180.348829]	[73.768614, 65.256096, 38.262, 33.027869, 30.262205, 27.616919, 23.337884, 20.226685, 16.985698, 13.283475, 0.0]	[1613, 2454, 5770, 38268, 46318, 50314, 218985, 264324, 273149, 355991, 8374366]
sdrdp_wireless_300_0.119_3.txt.out	23	1199.84	16.8981	[72.0, 49.0, 41.0, 40.0, 29.0, 28.0, 25.0, 24.0, 23.0]	[0.145856, 0.372046, 0.584279, 1.305191, 2.182071, 2.213432, 3.031231, 104.994295, 421.065698]	[80.132127, 68.174559, 60.760439, 58.176178, 42.183238, 40.118354, 32.932556, 24.007271, 18.736993]	[1196, 1664, 2288, 3496, 13293, 13689, 20340, 795996, 3228533]
sdrdp_wireless_300_0.125_4.txt.out	18	1199.92	27.019	[50.0, 30.0, 26.0, 25.0, 24.0, 23.0, 21.0, 20.0, 19.0, 18.0]	[0.17286, 1.465935, 2.572866, 9.947461, 12.877086, 47.266066, 48.865129, 62.670888, 65.443888, 1094.14507]	[81.329918, 61.040156, 54.987314, 52.145028, 49.784864, 46.738313, 41.664581, 38.613941, 35.346943, 27.054309]	[1731, 3865, 14447, 26974, 37024, 322654, 328916, 369931, 375335, 8132834]
sdrdp_wireless_300_0.125_5.txt.out	18	1200.12	26.486700000000003	[51.0, 41.0, 37.0, 32.0, 28.0, 26.0, 25.0, 24.0, 23.0, 22.0, 19.0, 18.0]	[0.167228, 0.573408, 1.224747, 2.603178, 2.674035, 2.693455, 13.478231, 14.679757, 65.812188, 102.225676, 103.724393, 440.965827]	[82.409212, 74.313008, 71.227799, 66.621809, 61.853496, 58.919149, 53.735101, 51.791529, 47.400259, 44.354508, 35.558788, 29.73705]	[1673, 2625, 3328, 17412, 18211, 18368, 47197, 53147, 362232, 665559, 672815, 3129077]
sdrdp_wireless_300_0.125_6.txt.out	20	1200.09	19.950000000000003	[54.0, 51.0, 36.0, 27.0, 25.0, 24.0, 23.0, 22.0, 21.0, 20.0]	[0.174149, 0.598316, 2.019427, 3.483897, 3.563058, 10.434589, 109.082879, 121.36276, 1036.130649, 1037.774895]	[78.953604, 73.517834, 60.153353, 46.80261, 42.546819, 39.101194, 34.509337, 31.441867, 23.963541, 20.158132]	[1861, 3213, 5892, 22140, 22912, 40598, 727910, 826109, 7748109, 7755377]
sdrdp_wireless_300_0.125_7.txt.out	15	1200.14	21.159	[45.0, 36.0, 30.0, 19.0, 18.0, 17.0, 16.0, 15.0]	[0.162953, 0.54643, 1.049337, 1.992415, 2.047353, 2.505005, 178.75218, 179.551855]	[81.190234, 73.503888, 67.953677, 48.468154, 45.605273, 42.405584, 31.450994, 26.873472]	[1476, 2449, 2820, 12913, 13347, 16828, 1754580, 1765385]
